podcast-production-pipeline,播客制作流水线,播客制作流水线 - 多智能体串联处理从选题到发布的完整播客制作流程，包括节目调研、大纲与脚本、节目笔记、社交媒体素材包和节目描述,fa557e6
agent-security-scanning,智能体安全扫描,使用 OpenClaw + ClawGuard 自动扫描技能和插件，保护你的 AI 智能体免受提示注入、隐私泄露和供应链攻击,unknown
agent-security-scanning-translated,智能体安全扫描 (完整翻译),使用 OpenClaw + ClawGuard 自动扫描技能和插件，保护你的 AI 智能体免受提示注入、隐私泄露和供应链攻击，包含详细配置和使用指南,unknown
cn-ecommerce-multi-agent,电商多 Agent 架构,电商多 Agent 架构：从查数到全链路自动运营 - 统一数据入口、Skill 即能力、多 Agent 角色分工、主动通知、多渠道嵌入、成本可控,unknown
multi-agent-team,"Agent-Swarm-一人开发团队",通过上下文实现专业化，将业务上下文转化为精确Prompt分发给各个编码Agent，实现一人开发团队的效率,unknown
ai-contract-signing,能签单的AI员工,将OpenClaw转换为成交高手，自动起草合同并通过电子签名发送，实现从线索到签署合同的全程自动化,unknown
autonomous-project-management,自主项目管理,使用子智能体进行自主项目管理：通过共享状态文件实现去中心化协调，多智能体并行执行任务，无调度器开销,1185490
ai-video编辑-通过聊天完成,通过聊天完成AI视频编辑,通过聊天完成AI视频编辑：将视频编辑转化为对话，支持自然语言描述修剪、添加字幕、调整色调等功能,unknown
autonomous-game-dev-pipeline,自主教育游戏开发流水线,自主教育游戏开发流水线 - 使用AI代理管理游戏开发和维护生命周期，包括Bug修复和新游戏创建，每7分钟可生产1个新游戏,unknown
dynamic-dashboard,动态仪表盘与子智能体生成,动态仪表盘与子智能体生成 - 通过生成子智能体并行获取和处理多个数据源，创建实时更新的仪表盘，支持GitHub、社交媒体、市场数据等多源监控,unknown
phone-based-personal-assistant,基于电话的个人助手,基于电话的个人助手 - 将任何电话转换为AI智能体入口，支持语音交互、日历查询、Jira更新和网络搜索，集成Telnyx实现可靠电话连接,unknown
pre-build-idea-validator,开发前创意验证器,开发前创意验证器 - 在OpenClaw动手写代码之前，自动检查创意是否已存在，扫描GitHub、Hacker News、npm、PyPI和Product Hunt五大数据源，根据竞争程度决定下一步行动,unknown
semantic-memory-search,语义记忆搜索,基于向量驱动的语义搜索为记忆文件提供按含义检索能力，结合混合搜索与自动索引确保记忆始终可查，支持多种嵌入提供商和智能去重功能,unknown
